Name,degree,weightedDegree,betweenness,closeness,eigenvector,community
Zachary Miller,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Runkun Sun,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Xiaoyan Sun,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Yung-Yun Huang,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Henry Sederoff,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Richard Phillips,20.0,20.0,0.0,0.275472334682861,0.14443467664951887,1221
Jeffrey Hymes,5.0,8.0,0.0,0.23663237211998261,0.008616819142635929,1685
Brant Robert Johnson,10.0,22.0,4.333333333333333,0.23680394431554525,0.010825948347980114,1685
Johanna Elfenbein,1.0,1.0,0.0,0.2091176847227558,0.0008382974104020752,25
Emily D. Henriksen,7.0,8.0,32.20332982055423,0.24064249926318892,0.009496992794887856,1685
Mark Poole,2.0,2.0,0.0,0.24912280701754386,0.001250112390166705,40
Oscar Tirado Acevedo,3.0,3.0,0.0,0.2462675312924144,0.0012470395649958042,40
Kimberly H. Chappell,1.0,1.0,0.0,0.20155517156257713,0.00009371725010171863,927
Michelle Lynn Luo,4.0,4.0,0.0,0.2442782348541511,0.00809806300103624,1685
Lisa Marlena Barrangou,6.0,7.0,48.71676994653721,0.24435133921891367,0.008979655339358947,1685
Vicki Cornish,3.0,3.0,0.0,0.2425007425007425,0.001165546936639026,40
Jabeen Ahmad,3.0,3.0,0.0,0.2425007425007425,0.001165546936639026,40
Benjamin Callahan,3.0,5.0,0.0,0.20855683269476372,0.0001859417659734435,927
Shafeekh Muyyarikkandy,2.0,2.0,0.0,0.2015800518454512,0.00010483524600482183,927
Ben Smith,3.0,3.0,0.0,0.23355263157894737,0.0058488351230681565,1405
Phillip Strader,2.0,2.0,0.0,0.2498470012239902,0.0009201305661701733,879
Ignacio Dominguez,4.0,4.0,0.0,0.24719951559188616,0.0047359675175537765,1556
Alexandra Cata,1.0,1.0,0.0,0.6,2.0997466564254865e-22,701
Colt Nichols,10.0,18.0,51.77287522769621,0.25627746390458256,0.009570144156813943,1556
Masataka Enomoto,9.0,14.0,0.2159090909090909,0.24757428744693755,0.009036486859842168,1556
Yifan Wu,9.0,14.0,0.2159090909090909,0.24757428744693755,0.009036486859842168,1556
Duncan Lascelles,15.0,20.0,609.7961483069446,0.27673275715980344,0.013697506358782627,1556
Jianxun Wang,3.0,3.0,0.0,0.2471621008021795,0.004448199145473689,1556
Chau-Wai Wong,4.0,4.0,0.0,0.24719951559188616,0.004494616169863276,1556
Mushfiqur Rahman,4.0,4.0,0.0,0.24719951559188616,0.004494616169863276,1556
